Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Qs
26-Mar-20,Anonymous Employee,Retail Sales Consultant Interview,Accepted Offer,Neutral Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at AT&T.,Application,Why do you want to work for AT&T Â  1 Answer
11-Mar-20,Anonymous Interview Candidate,Technical Development Program Interview,Declined Offer,Positive Experience,Easy Interview,I applied through a recruiter. I interviewed at AT&T.,Application,"Describe a time you had a miscommunication, what did you do? Â  Answer Question"
11-Mar-20,Anonymous Interview Candidate,Intern - Software Engineer Interview,Declined Offer,Positive Experience,Easy Interview,I applied online. I interviewed at AT&T.,Application,Describe a time where you were misunderstood? Â  Answer Question
10-Mar-20,Anonymous Employee,Intern Interview,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. I interviewed at AT&T.,Application,Sell me your school? Â  Answer Question
10-Mar-20,"Anonymous Employee in Chicago, IL",Customer Care Interview,Accepted Offer,Positive Experience,,The interview process was fairly easy just asked basic questions then had to do a role play with the manager interview me. Fairly easy commute in the chicago area was able to get there on public transportation,Application,
7-Mar-20,Anonymous Employee,Sales Consultant Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at AT&T.,Application,What motivates me to be successful Â  Answer Question
4-Mar-20,Anonymous Employee,Staff Accountant Interview,Accepted Offer,Neutral Experience,Average Interview,I applied online. I interviewed at AT&T.,Application,Why do you want to work for us? Â  Answer Question
4-Mar-20,Anonymous Interview Candidate,B2B Sales Interview,No Offer,Negative Experience,Difficult Interview,I applied online. The process took 4+ weeks. I interviewed at AT&T.,Application,Nothing Â  Answer Question
3-Mar-20,Anonymous Interview Candidate,Technology Analyst Interview,Declined Offer,Neutral Experience,,I applied in-person. I interviewed at AT&T.,Application,Why I left my last job Â  1 Answer
6-Mar-20,"Anonymous Employee in Jackson, MS",Sales Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. The process took 3 days. I interviewed at AT&T (Jackson, MS) in March 2020.",Application,Why do you want to work for us? Â  1 Answer
18-Feb-20,"Anonymous Interview Candidate in Atlanta, GA",Training Manager Interview,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 1 day. I interviewed at AT&T (Atlanta, GA).",Interview,Tell me a time that you had to deal with multiple tasks and your need to prioritize each task. Â  Answer Question
17-Feb-20,Anonymous Interview Candidate,Internship Interview,Declined Offer,Positive Experience,Average Interview,"Got an email reply after applying online on company website, was a sent a link to schedule a phone interview within the next few business days. Interview itself was that was a mix of standard and unique behavioral questions, short and within 30 minutes,",Interview,Describe yourself and why you want to work for AT&T Â  Answer Question
6-Feb-20,Anonymous Interview Candidate,IT Interview,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at AT&T.,Interview,What is your major Â  Answer Question
3-Mar-20,"Anonymous Interview Candidate in Dallas, TX",Intern Interview,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at AT&T (Dallas, TX) in February 2020.",Interview,Where do you see yourself in 3 years Â  Answer Question
10-Feb-20,"Anonymous Employee in Atlanta, GA",Customer Support Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at AT&T (Atlanta, GA) in February 2020.",Interview,Role play Â  Answer Question
20-Feb-20,"Anonymous Employee in Atlanta, GA",Customer Service Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took a week. I interviewed at AT&T (Atlanta, GA) in February 2020.",Interview,general interview questions Â  Answer Question
11-Feb-20,"Anonymous Employee in Irvine, CA",Bilingual Sales Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at AT&T (Irvine, CA) in February 2020.",Interview,Why do you want to work for AT&T? Â  Answer Question
