Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Mar 30, 2020",Anonymous Interview Candidate,Inventory Specialist,Declined Offer,Neutral Experience,Easy Interview,Basic questions about who you are and why you want to work at Best Buy. No experience is really required for the role as they would build up your skills.,Application,Why do you want to work in the back? Â  Answer Question
"Mar 25, 2020",Anonymous Employee,Geek Squad Advanced Repair Agent,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Best Buy.,Application,Explain IMAP vs POP email like I have never seen this before. Â  1 Answer
"Feb 27, 2020",Anonymous Employee,Computer Sales Consultant,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Best Buy.,Application,What questions would you ask a customer who is looking to buy a computer? Â  Answer Question
"Feb 24, 2020",Anonymous Employee,Category Analyst,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Best Buy.,Application,What was a time where you overcame an obstacle? Â  Answer Question
"Feb 23, 2020",Anonymous Employee,Inventory Specialist,Accepted Offer,Positive Experience,Average Interview,I applied in-person. The process took 2 weeks. I interviewed at Best Buy.,Application,A job scenario: There is a task that must be completed by the shift after you. Though when your shift is almost over you get told by your team lead that the next employee won't be able to come in to complete that necessary task. How do you handle it? Â  Answer Question
"Feb 14, 2020","Anonymous Employee in Houston, TX",Asset Protection Specialist,Accepted Offer,Negative Experience,Average Interview,"I applied online. I interviewed at Best Buy (Houston, TX).",Application,What are the roles of asset protection Â  Answer Question
"Feb 14, 2020",Anonymous Interview Candidate,Multi-Channel Sales Supervisor,No Offer,Positive Experience,Average Interview,The interview went well. I didn't get the position but I did lean a lot of things about the company and the interview process. I likely would have gotten the job if not for a more qualified applicant.,Application,Where do you see yourself if five years? Â  Answer Question
"Feb 7, 2020",Anonymous Employee,Customer Service Representative,Accepted Offer,Neutral Experience,Average Interview,"Pretty straight forward, you interview a couple different mangers in the store. Kind of ask the same questions in different ways. Then have a sit down with a couple managers all at the same time and ask you questions and concerns as well.",Application,Why they should hire you Â  1 Answer
"Feb 4, 2020","Anonymous Employee in Danbury, CT",Multichannel Sales Associate,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Best Buy (Danbury, CT).",Application,Are you available nights? weekends? Â  Answer Question
"Feb 3, 2020",Anonymous Employee,Sales Representative,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took a week. I interviewed at Best Buy.,Application,Name a time you went above and beyond for a customer. Â  Answer Question
2 Feb 2020,Anonymous Interview Candidate,Computer Sales Associate,No Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Best Buy.,Application,Difference between software and computers. Â  Answer Question
14 Feb 2020,"Anonymous Interview Candidate in Richfield, MN (US)",Designer,No Offer,Negative Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Best Buy (Richfield, MN (US)) in February 2020.",Application,Tell me a time where you had to handle a difficult situation. Â  Answer Question
25 Feb 2020,"Anonymous Interview Candidate in Eatontown, NJ (US)",Customer Service Associate,No Offer,Negative Experience,Easy Interview,"I applied online. I interviewed at Best Buy (Eatontown, NJ (US)) in February 2020.",Application,Hoe do you deal with customers who donât speak english? Â  Answer Question
18 Feb 2020,"Anonymous Interview Candidate in Bethlehem, PA (US)",Product Manager,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Best Buy (Bethlehem, PA (US)) in February 2020.",Application,"What is one this that you think you will do well in the position, what is one thing you believe that you will struggle within this position. Â  1 Answer"
27 Feb 2020,"Anonymous Employee in Baltimore, MD (US)",Best Buy Mobile Sales Associate,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Best Buy (Baltimore, MD (US)) in February 2020.",Application,Tell me about your work history Â  1 Answer
27 Feb 2020,Anonymous Interview Candidate,Warehouse Administrator,No Offer,Negative Experience,Average Interview,I applied online. The process took 5 days. I interviewed at Best Buy in February 2020.,Application,You are tasked to build a store display but you notice the area designated isn't large enough for the display. What do you do? Â  Answer Question
15 Mar 2020,"Anonymous Interview Candidate in Richfield, MN (US)","Director, Corporate Position",No Offer,Negative Experience,Average Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Best Buy (Richfield, MN (US)) in February 2020.",Application,General questions. Phone interview. It was more of a formality to quickly move me onto the next steps. Â  Answer Question
30 Jan 2020,"Anonymous Employee in Seattle, WA (US)",District Service Manager,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. I interviewed at Best Buy (Seattle, WA (US)).",Application,Q: Tell me a time when you had to work with someone you didn't normally get along with. Â  Answer Question
26 Jan 2020,Anonymous Employee,Cashier,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Best Buy.,Application,Do you know a lot about any of the bigger products we sell? Â  Answer Question
17 Jan 2020,Anonymous Employee,Sales,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Best Buy.,Interview,How many years experience do you have with sales? Â  1 Answer
15 Jan 2020,Anonymous Employee,Senior Product Manager,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 2 weeks. I interviewed at Best Buy.,Interview,"overview of your background, and some questions from your backround to understand it well.
Some situational question- mostly related to the job you are applying. i.e- if you applied for product manager- 1)how do you calculate business values for the product features 2) prioritize roadmap 3) if you are already in similar industry - retail/e-commerce- there might be some specific question related to that. Â  Answer Question"
12 Jan 2020,Anonymous Interview Candidate,Backroom Associate,No Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at Best Buy.,Interview,"If you saw a fellow associate stealing, what would you do? Â  Answer Question"
31 Jan 2020,"Anonymous Interview Candidate in Cleveland, OH (US)",Sales Consultant,No Offer,Negative Experience,Average Interview,"I applied online. The process took 1 day. I interviewed at Best Buy (Cleveland, OH (US)) in January 2020.",Interview,What is your availability? Â  1 Answer
31 Dec 2019,Anonymous Employee,Geek Squad,Accepted Offer,Neutral Experience,,I applied online. I interviewed at Best Buy.,Interview,How old are you? Â  Answer Question
9 Jan 2020,"Anonymous Interview Candidate in Bel Air, MD (US)",Customer Service Representative,No Offer,Neutral Experience,Easy Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Best Buy (Bel Air, MD (US)) in January 2020.",Interview,"What is a challenging situation you've had to deal with at work, and how did you handle it? Â  Answer Question"
12 Apr 2020,Anonymous Interview Candidate,Inventory/Merchandising Supervisor,No Offer,Neutral Experience,Average Interview,I applied online. The process took 4+ weeks. I interviewed at Best Buy in January 2020.,Interview,What is your understanding of this role? Â  Answer Question
22 Dec 2019,Anonymous Employee,Home Theater Sales Associate,Accepted Offer,Positive Experience,Easy Interview,"quick interview, first a phone screening, then an in store interview. they hired me the same day as interview and my first shift was that weekend where I did trainings in the back.",Interview,why did you want to work with them Â  Answer Question
