Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Qs
"Apr 4, 2020",Anonymous Interview Candidate,Anonymous Interview,No Offer,Neutral Experience,Easy Interview,I applied online. The process took 4 weeks. I interviewed at CVS Health.,Application,Why Retail? Â  Answer Question
"Mar 30, 2020",Anonymous Employee,Clerk/Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,Very informal. I suppose it will differ by site. Mostly concerned availability and any past research experience. I found my interviewer to be very easy going and enjoyed the process.,Application,Do you have experience tracking and maintaining Balance on Hand (BoH) metrics for retail goods? Â  Answer Question
"Mar 28, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,Why do you want to be a Pharm Tech Â  Answer Question
"Mar 26, 2020",Anonymous Employee,PT Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,What is your previous work experience? Â  Answer Question
"Mar 23, 2020",Anonymous Interview Candidate,Cashier Interview,Declined Offer,Neutral Experience,Easy Interview,Standard interview. Generic questions like tell me about your strength and weaknesses. No different than the rest of the store like businesses when it comes to interview questions.,Application,Tell me about your strengths and weaknesses Â  Answer Question
"Mar 20, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Average Interview,Phone interview followed by an on-site interview . Overall it was casual and easy going. Pharmacy manager was very nice. The entire process took about ten days from the date I applied.,Application,Tell us about a project where you showed leadership skills. Â  Answer Question
"Mar 17, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Neutral Experience,,"Online application.
Called in to submit resume + cover letter.
Seemed like a pretty easy process. Hard to find an opening usually. If there's a spot you'll probably get it unless you have some kind of bad history.",Application,
"Mar 11, 2020",Anonymous Interview Candidate,DigitalUndergrad Interview,Declined Offer,Neutral Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,What do you know of CVS and why do you choose CVS? Â  Answer Question
"Mar 12, 2020",Anonymous Employee,Pharmacy Service Representative Interview,Accepted Offer,Positive Experience,,I applied online. I interviewed at CVS Health.,Application,Situational Questions Â  Answer Question
"Mar 6, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,Tell me about yourself Â  Answer Question
