Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Q
"Mar 21, 2020",Anonymous Employee,LOAN OPERATIONS SPECIALIST,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at Fannie Mae.,Application,What could I bring to the team Â  Answer Question
"Mar 26, 2020","Anonymous Interview Candidate in Washington, DC",Business Analyst,No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 3 weeks. I interviewed at Fannie Mae (Washington, DC) in March 2020.",Application,Do you believe everyone should own a home? Â  Answer Question
"Feb 14, 2020",Anonymous Interview Candidate,Associate Financial Engineer,No Offer,Positive Experience,Average Interview,I applied through college or university. The process took 4+ weeks. I interviewed at Fannie Mae.,Application,What do you know about fannie mae? Â  Answer Question
"Feb 23, 2020","Anonymous Interview Candidate in Reston, VA",Software Engineer,No Offer,Positive Experience,Average Interview,"I applied in-person. I interviewed at Fannie Mae (Reston, VA) in February 2020.",Application,5-gallon and 3-gallon container brainteaser Â  Answer Question
"Jan 25, 2020",Anonymous Employee,Securities Analyst,Accepted Offer,Positive Experience,Average Interview,"It was a panel interview with the team, then one with the manager. All occurred on the same day. At the end of the day, I received a phone call with an offer",Application,Most of the questions were related to MBS experience and knowledge of securities processing Â  Answer Question
"Feb 13, 2020","Anonymous Employee in Washington, DC",Talent Acquisition,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at Fannie Mae (Washington, DC) in January 2020.",Application,mostly behavioral interviewing type questions Â  Answer Question
"Feb 12, 2020","Anonymous Employee in Reston, VA",Applications Support Analyst,Accepted Offer,Positive Experience,Difficult Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae (Reston, VA) in January 2020.",Application,How would you write the SQL statement to select the top 10 rows in a 'loan' table? Â  Answer Question
"Dec 27, 2019",Anonymous Interview Candidate,Financial Analyst III,Declined Offer,Positive Experience,,I applied online. I interviewed at Fannie Mae.,Application,"try to find more career development opportunities, and learn more about different field in finance industry. Â  Answer Question"
"Jan 27, 2020","Anonymous Interview Candidate in Washington, DC",Financial Engineer,No Offer,Neutral Experience,Average Interview,"I applied online. I interviewed at Fannie Mae (Washington, DC) in December 2019.",Application,How soon will Fannie Mae go belly up again? Â  1 Answer
"Nov 26, 2019",Anonymous Interview Candidate,Business Analyst,No Offer,Neutral Experience,Easy Interview,I applied through college or university. The process took a week. I interviewed at Fannie Mae.,Application,Name a time you failed Â  Answer Question
"Oct 22, 2019",Anonymous Employee,Business Analyst,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,What have you learned from your past experiences? Â  1 Answer
"Oct 3, 2019",Anonymous Interview Candidate,Business Analyst,No Offer,Positive Experience,Average Interview,A lot of behavioral questions including how you handle conflict and what to do when someone in your team slacks off. Also a lot of brain teasers and logic questions,Application,How many ping pong balls fit in this room Â  Answer Question
"Oct 29, 2019","Anonymous Interview Candidate in Reston, VA",Software Engineer,Declined Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4 weeks. I interviewed at Fannie Mae (Reston, VA) in October 2019.",Application,how to find each occurrence of a letter given a string Â  Answer Question
"Oct 3, 2019",Anonymous Interview Candidate,Business Analyst,Declined Offer,Neutral Experience,Average Interview,have an on campus interview tomorrow for the business analyst internship position looking for past questions on the interviewing process really really really really need help in order to prepare,Application,what did they ask Â  Answer Question
"Sep 30, 2019",Anonymous Employee,Technology Analyst,Accepted Offer,Positive Experience,Average Interview,"Applied with a recruiter and they asked behavioral questions and a few technical questions. It was a 4 week process, and I gladly accepted. The interview was about 45 minutes the first round",Application,"java, python Q's Â  Answer Question"
"Jan 26, 2020","Anonymous Interview Candidate in Washington, DC",Software Engineer,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Fannie Mae (Washington, DC) in October 2019.",Application,How would you design a cup of tea? Â  Answer Question
"Nov 4, 2019","Anonymous Employee in Plano, TX",Operations Analyst,Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. I interviewed at Fannie Mae (Plano, TX) in October 2019.",Application,Describe some of the projects you've worked on Â  Answer Question
"Oct 8, 2019","Anonymous Interview Candidate in Washington, DC",Analytics Associate,No Offer,Negative Experience,Difficult Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae (Washington, DC) in September 2019.",Application,"Basic behavioral questions, What do you know about Fannie Mae, strengths/weaknesses, etc Â  Answer Question"
"Oct 7, 2019","Anonymous Employee in Washington, DC",Analytics Associate,Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae (Washington, DC) in September 2019.",Application,Walk us through your resume and tell us a little about yourself. Â  Answer Question
6 Feb 2020,Anonymous Employee,Software Engineer,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 weeks. I interviewed at Fannie Mae in September 2019.,Application,5 balls and a balance scale algorithm question Â  Answer Question
2 Apr 2020,"Anonymous Interview Candidate in Washington, DC (US)",Digital Marketing,No Offer,Positive Experience,Average Interview,"I applied through a staffing agency. The process took 3+ months. I interviewed at Fannie Mae (Washington, DC (US)) in September 2019.",Application,They wanted to understand how I work cross-functionality. How I influence/negotiate. Â  Answer Question
22 Aug 2019,"Anonymous Employee in New York, NY (US)",Analyst,Accepted Offer,Positive Experience,Average Interview,"The process took 4+ weeks. I interviewed at Fannie Mae (New York, NY (US)).",Application,explain how your current experience correlates to the job you are applying for Â  Answer Question
8 Oct 2019,"Anonymous Employee in Washington, DC (US)",Financial Analyst,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Fannie Mae (Washington, DC (US)) in August 2019.",Application,How does Fannie Mae make money? Â  1 Answer
8 Oct 2019,"Anonymous Interview Candidate in Reston, VA (US)",Senior DevOps Engineer,Declined Offer,Negative Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Fannie Mae (Reston, VA (US)) in August 2019.",Application,Describe your technical experience with VMware and Puppet? Â  1 Answer
24 Jul 2019,Anonymous Interview Candidate,Analyst,No Offer,Positive Experience,Difficult Interview,"challenging and technical based. most questions related to the Job description, and 1 hour phone interview; SQL and python questions included; two rounds interview on the phone, and didn't hear back yet",Application,Duration and yield curve Â  1 Answer
17 Sep 2019,"Anonymous Interview Candidate in Washington, DC (US)",Financial Reporting,No Offer,Negative Experience,Difficult Interview,"I applied online. I interviewed at Fannie Mae (Washington, DC (US)) in July 2019.",Application,
17 Aug 2019,"Anonymous Interview Candidate in Washington, DC (US)",Quantitative Analyst,No Offer,Negative Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in July 2019.",Application,sas coding Â  Answer Question
18 Jun 2019,Anonymous Interview Candidate,Software Engineer,No Offer,Negative Experience,Average Interview,I applied online. The process took a week. I interviewed at Fannie Mae.,Application,4 pillars of OOP and examples Â  2 Answers
10 Jul 2019,"Anonymous Interview Candidate in Washington, DC (US)",Product Owner,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 5 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in June 2019.",Application,How would you handle situations where there are gray areas? Â  1 Answer
6 May 2019,Anonymous Employee,Campus Associate,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae.,Application,Why do you want to pursue project management. Â  1 Answer
25 Feb 2020,"Anonymous Employee in Reston, VA (US)",Documentation Specialist,Accepted Offer,Neutral Experience,Easy Interview,"I applied through other source. The process took 2 weeks. I interviewed at Fannie Mae (Reston, VA (US)) in May 2019.",Application,"How would you deal with the work culture, you seem to be so passionate Â  Answer Question"
25 Apr 2019,Anonymous Interview Candidate,Human Resources,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Fannie Mae.,Application,Walk me through your resume Â  1 Answer
1 Apr 2019,"Anonymous Interview Candidate in Washington, DC (US)",Recruiting Coordinator,No Offer,Negative Experience,Easy Interview,"I applied online. I interviewed at Fannie Mae (Washington, DC (US)).",Application,Tell me about your past experience Â  Answer Question
24 Mar 2019,Anonymous Employee,Product Owner,Accepted Offer,Positive Experience,Average Interview,"1 recruiter + 1 - onsite interview with panel of 4-5 senior members, Average Difficulty, How did you handle difficult situations, Experience as a Product Manager, 1 recruiter + 1 - onsite interview with panel of 4-5 senior members, Average Difficulty, How did you handle difficult situations, Experience as a Product Manage",Application,"TMAY, Experience, Roadmapping, Prioritization, Agile Â  Answer Question"
