Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Mar 30, 2020",Anonymous Employee,Package Handler Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at FedEx.,Application,Can you lift up to 100 pounds l? Â  2 Answers
"Mar 27, 2020",Anonymous Interview Candidate,Intern Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at FedEx.,Application,Tell me about a time when you held someone who did not contribute in the team accountable Â  1 Answer
"Mar 27, 2020",Anonymous Employee,Operations Administrator Interview,Accepted Offer,Negative Experience,Difficult Interview,I applied through college or university. I interviewed at FedEx.,Application,Asked in the BAR method - tell us about a time when you had an argument with someone in the workplace Â  1 Answer
"Mar 18, 2020","Anonymous Employee in San Francisco, CA",Part Time Package Handler Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied through a recruiter. The process took 1 day. I interviewed at FedEx (San Francisco, CA) in March 2019.",Application,Would you like to be scheduled for a drug test? Â  1 Answer
"Mar 8, 2020","Anonymous Interview Candidate in New York, NY",Driver Interview,Declined Offer,Positive Experience,Easy Interview,"I applied through a staffing agency. I interviewed at FedEx (New York, NY) in March 2020.",Application,"He asking, about were are you asked Â  1 Answer"
"Mar 5, 2020",Anonymous Employee,Marketing Principal Interview,Accepted Offer,Positive Experience,Average Interview,It was an in person panel interview with 3 managers who asked 8 behavioral questions. Two of the questions were related to conflict. Surprisingly there were no questions related the product marketing area that the position was in.,Application,Tell me about a time when you had to make a decision without all the information? Â  Answer Question
"Mar 5, 2020","Anonymous Employee in SÃ£o Paulo, SÃ£o Paulo (Brazil)",Agente De Atendimento Bilingue Interview,Accepted Offer,Neutral Experience,Average Interview,"I applied through an employee referral. The process took 2 days. I interviewed at FedEx (SÃ£o Paulo, SÃ£o Paulo (Brazil)).",Application,"""O que vocÃª sabe sobre a empresa?""
""O que vocÃª faria em x situaÃ§Ã£o?"" Â  Answer Question"
"Mar 4, 2020","Anonymous Employee in Memphis, TN",Data Scientist Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at FedEx (Memphis, TN) in January 2019.",Application,Spoke about experiences and projects on resume Â  Answer Question
"Mar 2, 2020",Anonymous Interview Candidate,Intern - Hourly Interview,Declined Offer,Neutral Experience,,Behavioral interview. It was a virtual interview and I was asked various questions about the company and my own experience. My programming experience and how it can influence the company.,Application,Contribution Â  Answer Question
"Mar 1, 2020",Anonymous Interview Candidate in Kempton Park (South Africa),Graduate Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 3+ months. I interviewed at FedEx (Kempton Park (South Africa)) in January 2020.,Application,"Give a situation where you had to solve a problem, in a group. Â  Answer Question"
"Feb 25, 2020",Anonymous Interview Candidate,Internship Interview,No Offer,Neutral Experience,Average Interview,"Sales Internship. Applied online, was contacted about 2 weeks later to schedule a video interview. 2 on 1 with classic behavioral questions. Interviewers were pretty dry but nice poeple.",Interview,Why FedEx? Â  Answer Question
"Feb 22, 2020",Anonymous Interview Candidate in Amsterdam (Netherlands),Senior Platform Engineer Interview,Declined Offer,Negative Experience,Easy Interview,The process took 2+ months. I interviewed at FedEx (Amsterdam (Netherlands)).,Interview,Asked about professional experiences Â  Answer Question
