Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Apr 5, 2020",Software Engineer Interview,"Anonymous Interview Candidate in Ottawa, ON (Canada)",Declined Offer,Negative Experience,Easy Interview,"I applied through an employee referral. The process took 3 days. I interviewed at Ford Motor Company (Ottawa, ON (Canada)).","The hiring process was good. But when I asked what would be my potential roles/responsibilities there, the hiring manager rudely rejected to answer this question. It gave me a feeling they just used up the hiring budget. Because of such uncertainties I rejected the offer.",coding and linux cmd questions Â  Answer Question
"Mar 29, 2020",Analyst Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (Dearborn, MI) in February 2020.",I applied online and got a response a month or two later. A phone screening was followed by a panel interview at the Ford talent center. Everyone working there was polite and helpful and the panel made you feel at ease.,"Many questions were behavioral using the STAR method for responses, some were technical (how you use specific skills to approach specific problems), and then there was time for conversation afterward. Â  Answer Question"
"Mar 23, 2020",Customer Satisfaction Specialist Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Ford Motor Company.,"Once HR arranged the interview with you, the first step is for you to take a standard English listening test plus a English reading test. Both tests have truth-or-false questions and multiple-choice questions. Then you will meet your supervisor and the supervisor of your supervisor.",Tell me about yourself. Â  Answer Question
"Mar 23, 2020",GET Interview,Anonymous Interview Candidate in Chennai (India),No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 1 day. I interviewed at Ford Motor Company (Chennai (India)) in November 2018.,i applied through online form send by my friend. they called me for interview within a week. there is two rounds 1.aptitude 2.f 2 f (tech) it was very tough,
"Mar 17, 2020",Ford College Graduate Interview,"Anonymous Employee in Detroit, MI",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company (Detroit, MI) in November 2019.","I applied online and got a phone interview within a week. Then, I went to MI for the onsite interview. The whole process was efficient. Two interviewers talked to me for the phone interview, and another two managers interviewed me for the onsite interview.",Why do you want to work for Ford Â  Answer Question
"Mar 12, 2020",Lead Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied in-person. I interviewed at Ford Motor Company.,"Technical round
Managerial interview
HR interview

Questions will be from the work which you are currently working
Now the procedure has changed is what I heard

Then behavioral kind of questions and the supervisor will be testing your behavior by asking so many questions

Package and benefits will be informed by HR.

HR will ask about relocation, timing, shift timings",How will you manage multiple projects? Â  Answer Question
"Mar 10, 2020",Summer Student General Production Operator Interview,"Anonymous Employee in Hamilton, ON (Canada)",Accepted Offer,Neutral Experience,Average Interview,"I applied through an employee referral. The process took 3 weeks. I interviewed at Ford Motor Company (Hamilton, ON (Canada)) in June 2019.","There were no questions asked, I had to submit an application and wait until I was emailed that I had an opportunity. The waiting took about 3 weeks from me submitting the application via letter. Once I got the email, I had to confirm that I was interested and go into Orientation.",
"Mar 10, 2020",Systems Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,,Good touching different aspects of current employment and future career path. well experoenced interview board with vast knowldege of what teh position is about. easy to dela with aswer in no pressure environment,,"about myself, stress questions and how to handle Â  1 Answer"
"Mar 6, 2020",Manufacturing Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,"Long duration between initial application and first contact. Initial Phone Screening with HR, consisting of mainly behavioral questions. On-Site Panel Interview with staff from department, at designated hiring center. Interviewers highly interested in relevant previous projects. Many situational questions.",,Tell us about a project where things initially didnât go to plan. How did you react? What steps did you take to recover? Â  Answer Question
"Mar 5, 2020",Software Engineer - Platform Interview,"Anonymous Employee in Toronto, ON (Canada)",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 3+ months. I interviewed at Ford Motor Company (Toronto, ON (Canada)) in February 2020.",I submitted my resume 4 months ago and got the telephone interview 2 months ago. The onsite interview was done one month later. The offer was sent to me two weeks later.,"Write the code to convert the digital numbers in string to integer, for example: ""23456789"" --> int value=23456789. No library function can be used except for strlen(). Â  1 Answer"
"Feb 28, 2020",Clay Modeler Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 2 weeks. I interviewed at Ford Motor Company.,Pretty straightforward interview process. It was maybe a little stressful in the sense that there was no one on one but the initial interview was in front of five of the studio managers. I could feel the managers were all very genuine and wanting to know you as a person and that made it a little easier.,Could you go through your portfolio with us? Â  Answer Question
"Feb 27, 2020",Human Resources Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Ford Motor Company.,Very welcoming and conversational. I applied through their careers website and in 2 weeks I received an opportunity to interview. The interview was held through online portals and was a pleasant experience,One challenge Â  Answer Question
"Feb 25, 2020",Software Engineer Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,"They are quite good, very professional, human resource is quite nice. It takes a long time period to wait for the real team members, they are also very kind and nice, asked several technical problems. The site is nice and large parking lots",,Former experience Â  Answer Question
"Feb 25, 2020",Engineer Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Neutral Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Dearborn, MI).",In person - two people (one was a supervisor and the other a manager) interviewed me. Each person asked a few questions and then we discussed the position. Questions focused on past experiences at school and/or past jobs,Explain a time when things on an assignment did not go as planned and what did you do to correct Â  Answer Question
"Feb 24, 2020",Software Developer Coop Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company.,"50 min interviewï¼4 candidates, light technical questions. intetview is more focused on resume.
Interview passes really fast. Some general hr questions as well.
They talk a lot of their daily routine and most used software.",resume experience Â  Answer Question
"Feb 22, 2020",Product Manager Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied through a staffing agency. The process took a week. I interviewed at Ford Motor Company in November 2019.,"Staffing agency sent my resume through. I wasn't actually looking for a project owner position, but was brought in to interview for it anyway as I have technical expertise. In the end, it didn't work out because I wasn't looking for this kind of position. I very much enjoyed the interview though and GDIA seems like a great department to work in, with a good culture and plenty of career development for those who want it.",Mostly behavioral and based on past experience/ current projects. Â  Answer Question
"Feb 22, 2020",Launch Engineer Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,The Interview lasted for 30 minutes. The Interview was face to face. The questions were based on star method i.e. the questions were of behavioral type.There were total 5 questions.,,"Have you done the projects that matches the job role?
Have you done multiple projects at a time? Â  Answer Question"
"Feb 21, 2020",Zone Manager Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company (Dearborn, MI) in February 2020.","Applied online and was contacted for a phone interview one week after I applied. After I passed the phone interview I was contacted for an in-person interview in Dearborn, MI. They flew me out and paid for your hotel accommodations as well. The interview was in the morning and started with a welcome presentation then you moved onto a panel interview with 2-3 interviewers and those are basic interview questions but you should be prepared and know your resume extremely well and be able to speak about relevant experiences. You also will have a simulation where they will give you information the day of the interview. This part was really cool and you experienced things that you will deal with on a daily basis at the job. Great experience, the interviewers were awesome and made me feel extremely comfortable as well.",Why Ford? Â  Answer Question
"Feb 21, 2020",Communications Manager Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Negative Experience,Easy Interview,"I applied through a recruiter. The process took 5+ months. I interviewed at Ford Motor Company (Dearborn, MI) in February 2020.","I was initially contacted by a recruiter on the Ford Talent Acquisition team, and was asked to apply for the position online. Several MONTHS went by before hearing anything more, despite my repeated inquiries for a status update (I have experienced this ""radio silence"" several times in dealing with Ford). I was eventually told the position had been ""put on hold,"" but was re-opened and the hiring managers wanted to speak with me. It took a couple of weeks to schedule an interview.
The interview was only 30 minutes long, and was scheduled with three Ford employees, one of which was the hiring manager. On the day of the interview, however, the hiring manager didn't even show up to the interview. When I asked about this, I was told the hiring manager had to attend a meeting with an executive.
I was asked some fairly generic questions by two employees who didn't seem to know much about me and who clearly didn't want to be there. The interview concluded after 30 minutes (which isn't enough time to get to know anyone, in my opinion). The recruiter emailed me two days later and informed me the company was no longer interested.
Overall, the process seemed to be unprofessional and disrespectful of my time and effort. The company didn't seem to be serious about filling this posted position.",Walk us through your resume. Â  1 Answer
"Feb 17, 2020",Financial Analyst Interview,"Anonymous Interview Candidate in Provo, UT",No Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Ford Motor Company (Provo, UT) in October 2019.",I submitted my resume through handshake and was contacted with the next couple of weeks. I was given two weeks to prepare and take an online video interview through a third party system.,I was given a sequence of three memory and matching games that began at an elementary level and progressively became more difficult. Â  1 Answer
"Feb 17, 2020",Product Designer Interview,"Anonymous Interview Candidate in Detroit, MI",No Offer,Neutral Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Ford Motor Company (Detroit, MI) in November 2019.","Overall, the interview process was lacking and in the end, disappointing. As a senior designer candidate, my first âinterviewâ was a more of a standard âtouch-baseâ with the internal recruiting coordinator where I was initially screened.

A few weeks later, my first official interview consisted of a video where I rapidly presented relevant work within a 45 minute timeframe. I could have done better had I been set up for success. I feel the internal recruiter suggested I prepare to show one thing while the team interviewing me were requesting items I had had, but not on-hand for the interview. Had I known, I would have included exactly what they were looking for. I left that interview feeling a little defeated as I couldnât show examples of exactly what they were wanting.

After about a week, I heard back and was asked to travel on-site for a panel interview. Ford flew me out, paid for food and lodging and took care of all shuttles to/from the site. The interview lasted right at an hour where I sat in a cubicle with three others discussing the role and answering questions. Some of the questions were specific to my role and experience and some were standard/traditional interview questions. Overall I left feeling like I interviewed well, had great answers to all questions and asked some good ones myself.

Along the entire process, I was good about sending my follow-up emails, expressing gratitude and excitement about the role. I heard at least three times that I would be told one way or another if I did or did not land the job. After a full month I checked in and was told it was both the holidays and the team was out of town but I should hear something the start of the year. After a full 6 weeks after interviewing, I officially recognized they werenât going to let me know either way. Iâm a little upset I didnât get the job but Iâm much more irritated that I never heard back one way or another, after being told I definitely would.

For a company the size of Ford and the amount of time all parties invested in interviewing me and flying me out to Detroit, Iâm a bit surprised and disappointed in the communication and lack of consideration. Not only was I not set up for success during my initial interview, they also didnât stand by their word and keep me informed of the specifics.",How do you deal with a challenging product owner or stakeholder that's insisting on a solution that might not be in the best interest of the product? Â  1 Answer
"Feb 17, 2020",Maintenance Technician Interview,Anonymous Interview Candidate in Ciudad de MÃ©xico (Mexico),Declined Offer,Neutral Experience,Easy Interview,I applied in-person. I interviewed at Ford Motor Company (Ciudad de MÃ©xico (Mexico)) in March 2019.,"the proves are easy but they take the necessary information about you to select the best candidate, for example personal interview, skill test, health test, programmatic test, how much do you want to earn, what do you expect from this job?",tell me about you Â  1 Answer
"Feb 12, 2020",Responsable comptable Interview,Anonymous Interview Candidate in Argenteuil (France),Declined Offer,Neutral Experience,Average Interview,I applied through a recruiter. I interviewed at Ford Motor Company (Argenteuil (France)) in September 2017.,"Entretien correct avec l'Ã©quipe mÃ©tier au siÃ¨ge de la sociÃ©tÃ© , pour dÃ©crire mon parcours et ma formation. Retour assez rapide mais processus abonnÃ© car recrutement en interne. Locaux corrects",Formation - ExpÃ©rience Â  Answer Question
"Feb 11, 2020",Enterprise Agile Coach Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Negative Experience,Easy Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Ford Motor Company (Dearborn, MI) in February 2020.","The first interview with an existing agile coach contractor went well. This is regarding a multiperson video interview (second round) with Agile Coaches in Ford Motor Company's Agile Transformation Office. The first Agile Coach showed up on Zoom on time, and while waiting for the second person we went through the normal background explanations. It was approximately twenty minutes into the video interview, that another Agile Coach came into the interview, by audio-only. To set the background, this interview, this role was about the Agile Transformation of new teams. This interview showed poor interviewing technique and discriminated against the interviewee. I'm not blaming Ford, I don't even believe they know what is going on in their Agile Transformation Office. Clearly the people there are not trained or capable to interview and be ethical.","To set the background, this interview, this role was about the Agile Transformation of new teams. The second coach on audio started out condescendingly stating ""You may have to write this down as you won't remember it""... Going on to verbally lay out a scenario of four teams and what would I do if given that scenario, to which I answered it. There was no response to my answer. Beingâ¦Â  condensending in an interview, shows poorly of the interviewer, and the firm they respresent. The issue here is not only could that coach not repeat that scenario again as he just made it up, that is discrimination against me the interviewee. No one else interviewing would recieve that question or be judged on that question. You just singled me out by doing that, that is discrimination. This coach then went on to ask about Program Predictability and how I would use that. The topic is transformation of new teams, why and I asked this, would you be asking about forcasting future program increments when the topic is teams, stating that I wouldn't be teaching or using that. There was no response, and actually the interview went quiet for a good thirty seconds. Â  1 AnswerShow More"
"Feb 10, 2020",Software Engineer Interview,Anonymous Interview Candidate,Declined Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Ford Motor Company in February 2020.,They asked easy questions from technical part and situation based questions for HR part. Interviewers were very humble and good in nature. They will ask to write some code and will ask from resume.,Tell about your recent project? Â  Answer Question
"Feb 3, 2020",Junior Project Manager Interview,Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Ford Motor Company in October 2017.,"The interview was Intense, there are at least two to three interviewers at once. And you are asked questions with five to six parts. Take notes just to keep up with the questions.",
"Jan 29, 2020",Ford College Graduate Interview,Anonymous Employee in Bengaluru (India),Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Bengaluru (India)) in December 2016.,"Technical Test followed by Technical Interview by a panel of two people. One was a technical recruiter and another person was from the HR team. There were questions on SQL queries, data structures in C language.",Q: Implement push and posh in C. Â  Answer Question
"Jan 28, 2020",Internship Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company in November 2019.,I had an interview by campus recruiting. There were three employees from Ford. They asked me questions about my experience and questions about behavioral things. How are you going to act in a given situation.,what are you going to do if only 1/3 of the survey was collected? Â  Answer Question
"Jan 20, 2020",Materials Technician Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,Brief informal interview that was had a decision made beforehand. There was a brief tour of the facility and review of the day-to-day and workplace culture. The interview was pleasant and mostly went over career prospects outside of Ford.,,Do you want to work here Â  1 Answer
"Jan 17, 2020",Mechanical Engineering Interview,"Anonymous Interview Candidate in Phoenix, AZ",No Offer,Negative Experience,Average Interview,"I applied through a recruiter. The process took 4 weeks. I interviewed at Ford Motor Company (Phoenix, AZ) in October 2019.","30 minutes interview with project manager and engineer, talked about resume, different projects I had worked on. Asked me what my role was in different projects and challenges that I had and overcame. They ended up ghosting me though and never told me their final decision, so that turned the entire experience into a negative.",Why Ford? Â  Answer Question
"Jan 13, 2020",Internship Interview,"Anonymous Employee in Los Angeles, CA",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company (Los Angeles, CA) in November 2019.","I applied online, received the response very soon. Two recruiters interviewed me, they asked mostly behavioral questions, they are very nice people. I received the offer a week after the interview.",Give me an example of a time you faced a conflict while working on a team. How did you handle that? Â  Answer Question
"Dec 28, 2019",Projektanalyst Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied in-person. The process took 2 weeks. I interviewed at Ford Motor Company in August 2015.,"Das Interview bestand aus einige Fragen aus einem standardisierten Fragenkatalog und ein Fallbeispiel mit Rollenspiel.
Wichtig war bei jeder Frage ein Beispiel aus der eigenen Erfahrung darzustellen und die eigene Rolle in einer Situation zu beschreiben.","Beschreiben Sie eine Sitaution, in der Sie einen Ã¤lteren und erfahreneren Kollegen Ã¼berzeugen mussten Sie bei einer Aufgabe zu unterstÃ¼tzen. Â  1 Answer"
"Dec 27, 2019",IT Ford College Graduate Program Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company.,"After applying I was sent an online math test which was pretty difficult. I managed the passing score and was invited for a phone interview. It took around 45 minutes and was with two recruiters. All behavioral questions, nothing very difficult.",Talk about a time you overcame adversity. Â  Answer Question
"Dec 23, 2019",Coordenador De Lean Manufacturing Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. The process took 1 day. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)) in September 2018.,"Conversa com o supervisor da Ã¡rea mais dois analistas de RH, fazendo perguntas sobre os pre requisitos para a vaga. Muito tranquilo e fiquei bem a vontade. Grande parte do conteÃºdo da entrevista respondi com muita seguranÃ§a, pois era uma Ã¡rea que estava estudando e aplicando a mais de dois anos. Acredito que a vaga encaixou perfeitamente com as minhas qualificaÃ§Ãµes e pretenÃ§Ãµes dentro da empresa.",JÃ¡ teve algum contato com o assunto Manufatura Enxuta? Â  1 Answer
"Dec 10, 2019",Research Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,"Treated me very well, flew me to Michigan, picked me up, put me up in nice hotel, took me on tour of facilities. Interview was with three people, most questions were non technical and along the lines of âtell me about a time when you...â",Tell me about a time you demonstrated leadership. Â  Answer Question
"Dec 9, 2019",IT Engineer Interview,"Anonymous Employee in Chicago, IL",Accepted Offer,Neutral Experience,Average Interview,"I applied through a staffing agency. I interviewed at Ford Motor Company (Chicago, IL) in December 2017.",The interviewing process consist of a panel of 3. Your immediate manager and two higher status team members. The interview was long maybe 2 to 3 hours. They didn't ask any IT related questions. The questions asked were situational questions to see what your thought process would be in protecting the business.,If you were to Purge a document and you knew it would effect different departments what decision would you make if it had to be done now? Â  1 Answer
"Dec 9, 2019",Engineering Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at Ford Motor Company.,"30 min campus interview after applying online. 3 people interviewing you so itâs a bit challenging. Interview was pretty basic, not like you have to know about cars etc more team work and company culture",Very basic. Situational and behavioral questions. Best to have connections before the interview inside the company Â  Answer Question
"Dec 3, 2019",Cfd Engineer Interview,Anonymous Employee,Accepted Offer,Neutral Experience,Average Interview,"El personal de Recursos humanos no es muy organizado la entrevista, se re-agenda varias veces por la falta de comunicaciÃ³n entre supervisores y RH. Los supervisores y managers son muy accesibles y te tratan con respeto en todo momento.",,Sobre todo tu experiencia y evalÃºan mÃ¡s tus soft skills. Â  Answer Question
"Dec 3, 2019",TÃ©cnico De SeguranÃ§a Do Trabalho SÃªnior Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 2 days. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)) in July 2015.,"Entrevista oral, prova escrita, pesquisa mÃ©dica, teste de personalidade, entrevista tÃ©cnica, teste prÃ¡tico apresentaÃ§Ã£o tÃ©cnica individual, avaliaÃ§Ã£o psicolÃ³gica, entrevista com pessoal de Recursos Humanos, entrevista com pessoal da Ã¡rea tÃ©cnica,",Porque vc quer trabalhar na Ford Â  1 Answer
"Nov 28, 2019",IT FCG Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4 weeks. I interviewed at Ford Motor Company (Dearborn, MI) in October 2019.","Really straightforward process. I applied at the career fair at school, and then I got an email a few days later telling me my resume stood out and they'd like more information. So I scheduled an in-person interview at my school. It was a 20 minute interview and they just asked me ""tell me about a time when..."" type questions and to explain any technical projects I had listed in my resume. The following Monday I got an email saying I was invited for an in-person interview at the Ford Talent Office in Dearborn. I drove there, and had a 1.5 hour interview. First half was behavioral, second half was technical. Two people interviewed me, both high level managers. Two weeks later, I got an email with the offer. I had a much higher offer from GM, but when I tried negotiating the HR recruiter told me the FCG program already researched my salary based on past internships, GPA, questions to interview answers. I ended up just sucking it up and accepting because GM wanted me to work 2 hours away.","You're in the testing phase of a feature you're managing and you run into a major bug. The software devs tell you it'll take x amount of time to fix it, but the project is due in a week. What do you do? Â  1 Answer"
"Nov 27, 2019",Solution Architect Interview,Anonymous Interview Candidate in New Delhi (India),No Offer,Negative Experience,,I applied through a recruiter. The process took 1+ week. I interviewed at Ford Motor Company (New Delhi (India)) in November 2019.,"IGot a call through some consultancy .. attended interview in New Ford Office in Chennai
1st round Technical - Around 1hr asked so many question related to Java, Cloud, Project Architecture etc.

2nd Round Discussion with Project Manager ..(While discussion got msg from recruiter to meet after completing this round) ..Scenario based question , Project handling , and how to deal with this situation. After the interview the panel was satisfied (As per my understanding) and said HR will call.

On that day forgot to check message of recruiter ,So didn't meet him(How irresponsible from recruiter to send msg instead he can come and tell me to meet).

After 4 days tried to call recruiter and Consultancy ,No body is responding the call.

After trying many times consultancy picked the call and said they liked my profile and final result is pending .. after 3 weeks also I didn't get any response.

So I left ,One suggestions inform the candidate atleast via mail ..Very Unprofessional people.",How to maintain application in Cloud. Â  Answer Question
"Nov 20, 2019",Data Analyst Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied in-person. The process took 1 day. I interviewed at Ford Motor Company in November 2019.,I introduced myself at a conference. Interview was with two people in a closed booth at the conference. Everyone in the waiting area was very friendly. They began right off the back with the regular situational questions. There were no technical questions. They then asked what I was looking for in an internship.,Name a time when you changed someones opinion and how you went about it? What was the outcome? Â  Answer Question
