Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Mar 25, 2020","Anonymous Interview Candidate in Hillsboro, OR",Android Developer Interview,No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 2 weeks. I interviewed at NIKE (Hillsboro, OR) in February 2020.",Application,"Given a one week deadline with an email description of a project , implement it and be sure to use the best practices to show what ""production quality"" would look like for you. Â  Answer Question"
"Mar 24, 2020",Anonymous Interview Candidate,Internship Interview,Declined Offer,Positive Experience,,Applied through nike website and was taken through to the 1st stage of the process which was a video interview consisting of 10 questions that appear on screen. You have 30 seconds to prepare for this question and then you have to respond within the time given.,Application,What is your proudest achievement Â  1 Answer
"Mar 22, 2020",Anonymous Interview Candidate,Marketing Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 3 weeks. I interviewed at NIKE.,Application,Why Nike? Â  Answer Question
"Mar 22, 2020",Anonymous Interview Candidate,Sales Interview,No Offer,Positive Experience,Easy Interview,"it was a very good and nice, Please let us know the overall experience of this interviewPlease let us know the overall experience of this interviewPlease let us know the overall experience of this interviewPlease let us know the overall experience of this interview",Application,
"Mar 22, 2020",Anonymous Interview Candidate,SAP QA Interview,No Offer,Neutral Experience,Average Interview,I applied through a recruiter. The process took 2 weeks. I interviewed at NIKE.,Application,Which tools have u worked on Â  Answer Question
"Mar 15, 2020","Anonymous Interview Candidate in Memphis, TN",HR Specialist Interview,No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 3+ months. I interviewed at NIKE (Memphis, TN) in March 2019.",Application,Do you feel comfortable speaking in front of people. Â  1 Answer
"Mar 12, 2020","Anonymous Employee in Phoenix, AZ",Customer Manager Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at NIKE (Phoenix, AZ) in January 2016.",Application,What is the hardest thing you've faced Â  1 Answer
"Mar 11, 2020",Anonymous Interview Candidate,Global Labelling and Marking Analyst Interview,No Offer,Positive Experience,Average Interview,The process took 4+ weeks. I interviewed at NIKE in February 2020.,Application,"All situational based questions, starting with tell me about a time

Why Nike?
Tell me about yourself ? Â  Answer Question"
"Mar 11, 2020",Anonymous Employee,Manager Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at NIKE.,Application,Tell me about your goals Â  1 Answer
"Mar 10, 2020","Anonymous Employee in Beaverton, OR",Senior Business Systems Analyst Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at NIKE (Beaverton, OR) in March 2020.",Application,Q: Why Nike? Â  1 Answer
"Mar 7, 2020",Anonymous Employee,Intern Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at NIKE.,Application,Chatted about CV Â  Answer Question
"Mar 3, 2020","Anonymous Interview Candidate in Seattle, WA",Digital Product Manager Interview,No Offer,Positive Experience,Difficult Interview,"I applied through college or university. The process took 3 weeks. I interviewed at NIKE (Seattle, WA) in January 2020.",Application,Will you increase the price of Amazon Prime? Â  Answer Question
"Mar 2, 2020","Anonymous Employee in Birmingham, England (UK)",Athlete Interview,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 2 weeks. I interviewed at NIKE (Birmingham, England (UK)) in July 2016.",Application,What do you like most about the brand? Â  Answer Question
"Mar 1, 2020",Anonymous Employee in Amsterdam (Netherlands),FP&A Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 5 weeks. I interviewed at NIKE (Amsterdam (Netherlands)) in January 2016.,Application,Swot Â  1 Answer
"Feb 29, 2020",Anonymous Interview Candidate,Internship EHQ Planning and Analytics Interview,No Offer,Negative Experience,Easy Interview,I applied online. I interviewed at NIKE in March 2019.,Application,"Why Nike, Excel Skills and basic strength and weakness questions Â  Answer Question"
"Feb 28, 2020",Anonymous Employee,Global Operations Interview,Accepted Offer,Positive Experience,Average Interview,"1. phone interview which took around 10 minutes
2. swoosh day took 6 hours, consists of a case competition and a social networking event
3. in-person interview, 2 back to back in-person interviews",Application,why nike? Â  Answer Question
"Feb 27, 2020","Anonymous Interview Candidate in Vancouver, BC (Canada)",Stock Clerk Interview,No Offer,Neutral Experience,Easy Interview,"I applied online. The process took a week. I interviewed at NIKE (Vancouver, BC (Canada)) in February 2018.",Application,How familiar i am with new nike attire Â  1 Answer
"Feb 26, 2020",Anonymous Employee,Vendeur Interview,Accepted Offer,Positive Experience,Easy Interview,"facile , rapide , efficace , entretien groupÃ©, ca va vite et droit au but , Ã©valuer en fonction des autres car entretien en groupe et c'est bien parce qu'on peut se dÃ©marquer facilement",Application,donnez moi vos motivations Â  Answer Question
