Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Apr 4, 2020",Anonymous Interview Candidate,Supply Chain Co-Op Interview,No Offer,Neutral Experience,Easy Interview,I applied through college or university. I interviewed at PepsiCo.,Application,"basic behavioral questions
(tell me about yourself)
(worked with a team to solve a problem)
(how to deal with a slacker) Â  Answer Question"
"Mar 22, 2020",Anonymous Interview Candidate,Intern Interview,No Offer,Positive Experience,Average Interview,"apply online, in person interview through my university. overall fine experience, the lady on the phone was super nice. apply online, in person interview through my university. overall fine experience, the lady on the phone was super nice.",Application,why pepsi Â  3 Answers
"Mar 22, 2020",Anonymous Interview Candidate,Intern Marketing Interview,No Offer,Neutral Experience,Average Interview,I applied through college or university. I interviewed at PepsiCo.,Application,Tell me about yourself Â  1 Answer
"Mar 15, 2020","Anonymous Interview Candidate in Orlando, FL",Financial Analyst Interview,No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took a week. I interviewed at PepsiCo (Orlando, FL).",Application,"If you were a PepsiCo product, what would you be and why? Â  Answer Question"
"Mar 10, 2020",Anonymous Interview Candidate,Supply Chain Associate Interview,No Offer,Positive Experience,Average Interview,Met them through career fair at school. Was invited to have an on campus interview about a week or two later. On campus interview was with two different employees. Next was on site interview about two weeks later.,Application,If you could be any superhero who would you be? Why? Â  Answer Question
"Mar 4, 2020",Anonymous Interview Candidate,Sales Consultant Interview,Declined Offer,Positive Experience,Easy Interview,"very basic behavioral questions asking about how would succeed, how would come over an obstacle, why sales is right for you, where you see yourself in the company and what you can bring to the table",Application,describe a time you were challenged Â  Answer Question
"Mar 4, 2020",Anonymous Interview Candidate,Customer Service Manager Interview,No Offer,Positive Experience,Average Interview,Standard behavioral questions. Everyone was really nice and just wanted to know someone was capable of working with Excel. Working from home every week was an unexpected bonus. Is this not 30 words yet.,Application,Tell us about a time you had a conflict with a coworker. Â  Answer Question
"Mar 17, 2020","Anonymous Employee in Plano, TX",Associate Tax Analyst Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 4+ weeks. I interviewed at PepsiCo (Plano, TX) in March 2020.",Application,What are your current responsibilities? Â  1 Answer
"Feb 23, 2020",Anonymous Interview Candidate,Marketing Coordinator Interview,No Offer,Neutral Experience,Easy Interview,The interview process was typical and consisted of several behavioral type questions. The whole process took several weeks. The people I interacted with were very pleasant and gave me clear details on when I should expect to hear from them.,Application,Tell me about a time you had to resolve a conflict. Â  1 Answer
"Feb 20, 2020",Anonymous Employee,Operations Associate Interview,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 weeks. I interviewed at PepsiCo.,Application,About experience with projects and problem solving Â  1 Answer
"Mar 4, 2020","Anonymous Interview Candidate in Chicago, IL",Machine Operator Interview,No Offer,Negative Experience,Easy Interview,"The process took a week. I interviewed at PepsiCo (Chicago, IL) in February 2020.",Application,Why are you interested in working for PepsiCo? Â  Answer Question
"Feb 17, 2020","Anonymous Interview Candidate in Dallas, TX",Sales Associate Interview,No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took a week. I interviewed at PepsiCo (Dallas, TX) in February 2020.",Application,"What was a time you ""sold"" a product to someone and what were the steps you took to convince them to use it? Â  Answer Question"
"Feb 10, 2020","Anonymous Interview Candidate in Houston, TX",Sales Management Associate Interview,No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at PepsiCo (Houston, TX) in February 2020.",Application,Why are you interested in PepsiCo? Â  1 Answer
"Mar 5, 2020",Anonymous Interview Candidate,Associate Supply Chain Analyst Interview,Declined Offer,Neutral Experience,Easy Interview,I applied through college or university. I interviewed at PepsiCo in February 2020.,Application,Tell us about one time that you weren't able to meet a deadline. How did you deal with the situation? Â  Answer Question
"Jan 30, 2020",Anonymous Interview Candidate,Finance Interview,No Offer,Positive Experience,Average Interview,I applied through college or university. The process took a week. I interviewed at PepsiCo.,Application,"If we decided to offer you a position that is not what you applied for, would you take the offer or not? Why? Â  Answer Question"
"Jan 14, 2020",Anonymous Employee,Sales Representative Interview,Accepted Offer,Positive Experience,Average Interview,"Easy interview with 2 employees that asked standard interview questions about my background and skill qualities. No out of the ordinary questions, nothing difficult to answer. Just be yourself",Application,How do you build relationships? Â  Answer Question
"Jan 14, 2020",Anonymous Employee,Loader Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at PepsiCo.,Application,
"Jan 12, 2020",Anonymous Employee,Sales Associate Interview,Accepted Offer,Positive Experience,Average Interview,"Interviewed with many different people throughout the process. Mix of sales, HR and operations - all asking you very different questions. Gave you a lot of time to explain about yourself and your qualifications.",Application,Lots of situational questions (How would you handle if 'x' happened?) Â  Answer Question
