Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Qs
"Apr 5, 2020",Anonymous Interview Candidate,Information Technology Interview,No Offer,Positive Experience,Average Interview,"There are two rounds of interview, The first round is one person. Second round is two interviewer. All online. But I didn't perform well in the second round for some personal reason. But the overall experience is great.",Application,Give me an example about how you analyze a large scale of data? Â  Answer Question
"Apr 5, 2020",Anonymous Employee,Intern Engineer Interview,Accepted Offer,Positive Experience,Difficult Interview,"I had 3 interviews in all recrutment process:
1st Online
2nd and 3rd At P&G Brussels' office

The online interview was to identify the P&G base skills in all my experiences.
Goal/ context- actions - output

The 2nd and 3rd interview were to understand better the details of my experiences.
Always in the order Goal- actions - output",Application,Tell me about an experience that you managed a project that sufferd a cut of funds. Â  Answer Question
"Apr 5, 2020",Anonymous Employee,Account Manager Interview,Accepted Offer,Positive Experience,Difficult Interview,"After applying through its career website, I went through those following: online survey, online reasoning test, on-site reasoning test, and 3 on-site interviews. All of three were one-on-one interview asking in-depth questions on past experience. They require 3-4 interviews.",Application,Tell me about the situation when you took initiative. Tell me about the situation when you improved something/challenged. Â  1 Answer
"Apr 4, 2020",Anonymous Interview Candidate,Assistant Brand Manager Interview,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 5 weeks. I interviewed at Procter & Gamble in March 2019.,Application,"Raconter un moment difficile dans un stage prÃ©cÃ©dent et comment tu as rÃ©agi, ce que tu as mis en place. Â  Answer Question"
"Apr 4, 2020",Anonymous Employee,Finance Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at Procter & Gamble in March 2020.,Application,"Behavioral questions (e.g., describe a time when you lead a team of people and how it turned out; describe a time when you handled a conflict; describe a time when you came up with an innovative approach that optimized solution to a problem.) and situational judgment questions (e.g., the question about multiple projects with different deadlines, the question on how to persuade others to see your point of view.). Â â¦Â  Answer QuestionShow More"
"Apr 3, 2020",Anonymous Interview Candidate,Product Design Interview,No Offer,Neutral Experience,Average Interview,"There was first a HireVue that asked a few behavioral questions. The next step was to do a phone screening and then they invite you to a superday. My interviewee was really nicev and explained the questions well. When I talked to an onsite recruiter, they informed me that I was confirmed for a superday interview but I never got an email.",Application,Tell about a challenge you faced and how you overcame them. Â  Answer Question
"Apr 3, 2020","Anonymous Employee in Weybridge, England (UK)",Graduate Sales Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 2+ months. I interviewed at Procter & Gamble (Weybridge, England (UK)).",Application,"Competency questions, personal experiences, CV-based and company/industry-based. Â  Answer Question"
"Apr 2, 2020",Anonymous Employee in Geneva (Switzerland),Brand Management - Stage Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 5+ months. I interviewed at Procter & Gamble (Geneva (Switzerland)) in January 2020.,Application,"Normal behavioral questions like: ""tell me about a time when you had an argument with someone and how you solved it""
""tell me about a time when you changed a process and you made a positive impact""
""tell me about a time when you created something new""
Hypothetical questions like: ""You have to launch a product in a couple of weeks, but you receive a call from the factory and they tell youâ¦Â  that it won't be ready for at least 6 more weeks. What would you do?"" Â  Answer QuestionShow More"
"Apr 1, 2020",Anonymous Interview Candidate in Berlin (Germany),Planner Interview,No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 4+ months. I interviewed at Procter & Gamble (Berlin (Germany)) in March 2018.,Application,Online assessment Â  Answer Question
"Apr 1, 2020","Anonymous Employee in New York, NY",Associate Manager Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 2+ months. I interviewed at Procter & Gamble (New York, NY).",Application,What did you do that was unconventional? Â  Answer Question
"Mar 31, 2020",Anonymous Employee in Warsaw (Poland),IT Junior Project Manager Interview,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble (Warsaw (Poland)) in March 2020.,Application,Where you see yourself in 5 years time? Â  Answer Question
"Mar 30, 2020",Anonymous Interview Candidate,Communication Interview,No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Procter & Gamble.,Application,Why P&G Â  1 Answer
"Mar 30, 2020",Anonymous Employee in Amiens (France),Process Engineer Interview,Accepted Offer,Neutral Experience,Difficult Interview,I applied through a recruiter. The process took 3 weeks. I interviewed at Procter & Gamble (Amiens (France)) in June 2017.,Application,DÃ©crire une situation dans laquelle vous vous Ãªtes trouver dans l'embarras au travail. Â  Answer Question
"Mar 30, 2020",Anonymous Interview Candidate,Internship Interview,No Offer,Neutral Experience,Average Interview,"Il processo consisteva in una iniziale revisione della candidatura, poi un assessment online in cui valutano la personalitÃ , il modo di comportarsi in determinate situazioni e il quoziente intellettivo, e successivi colloqui (interviene) dei quali uno probabilmente effettuato via Skyp ed uno di presenza, fino all'offerta. Purtroppo non conosco i colloqui successivi all'assessment perchÃ© non ho raggiunto il punteggio per poter procedere. Le domande dell'assessment erano strane, in cui non secondo me non c'Ã¨ un modo esatto di rispondere, ma se rispondi ""male"" allora vieni scartato.",Application,"Ho fatto l'assessment online, che consisteva in domande psicologiche con 5 possibili risposte, oppure domande a cui bisognava rispondere con ""non importa, abbastanza importante, molto importante"", ""molto impreciso, impreciso, preciso, molto preciso"", poi alla fine c'erano dei test di logica (operazioni numeriche, simboli, memoria). Â  1 Answer"
"Mar 29, 2020",Anonymous Employee in Brussels (Belgium),Supply Chain Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Procter & Gamble (Brussels (Belgium)) in February 2020.,Application,Explain a time when there was a conflict and how did you deal with it? Â  Answer Question
"Mar 29, 2020","Anonymous Employee in Calgary, AB (Canada)",Business Analyst Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 6 weeks. I interviewed at Procter & Gamble (Calgary, AB (Canada)) in March 2020.",Application,which emerging sectors do you think should be kept an eye on this year? Â  Answer Question
"Mar 28, 2020","Anonymous Employee in Irapuato, Guanajuato (Mexico)",Product Supply Supervisor Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ months. I interviewed at Procter & Gamble (Irapuato, Guanajuato (Mexico)) in March 2020.",Application,SituaciÃ³n en la que hayas decidido tomar el papel de lÃ­der Â  1 Answer
