Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Feb 18, 2020",Anonymous Interview Candidate,Finance Interview,No Offer,Neutral Experience,Difficult Interview,Applied through University website. Got an email giving me times to sign up for interview. Went in for a very technical 30 minute interview. Didnât even get my rejection until months later.,Application,All the interview was technical Â  1 Answer
"Feb 11, 2020","Anonymous Employee in Los Angeles, CA",Operations Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Southwest Airlines (Los Angeles, CA) in February 2020.",Application,When is a time you had to work with a team member that was slacking off Â  1 Answer
"Mar 7, 2020","Anonymous Employee in Dallas, TX",Supply Chain Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Southwest Airlines (Dallas, TX) in February 2020.",Application,"Why Southwest Airlines?
Tell me about yourself? Â  Answer Question"
"Feb 23, 2020","Anonymous Employee in Los Angeles, CA",Freight Agent Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4 weeks. I interviewed at Southwest Airlines (Los Angeles, CA) in February 2020.",Application,Are you a leader or a follower? Â  Answer Question
"Jan 30, 2020",Anonymous Employee,Intern Interview,Accepted Offer,Positive Experience,Easy Interview,So far I just did the phone call interview. It's more of a screening call. So it asks basic questions. Make sure you meet the requirements for the post they'll ask and you'll send your transcript later on with rec letters. I have my next interview in person soon.,Application,Why Southwest? Â  Answer Question
"Jan 16, 2020",Anonymous Employee,Ramp Agent Interview,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 7 weeks. I interviewed at Southwest Airlines.,Application,What makes you a good fit for Southwest? Â  Answer Question
"Jan 16, 2020",Anonymous Employee,Ramp Agent Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 3+ months. I interviewed at Southwest Airlines in January 2020.,Application,What challenges did you face while working at (past company or current company)? Â  1 Answer
"Dec 30, 2019","Anonymous Interview Candidate in Cross Roads, Fisher, TX",Software Engineer Interview,Declined Offer,Neutral Experience,Average Interview,"The process took 2+ weeks. I interviewed at Southwest Airlines (Cross Roads, Fisher, TX).",Application,Describe a REST service that youâve previously built and how you can scale it. Â  Answer Question
"Feb 16, 2020","Anonymous Employee in Los Angeles, CA",Customer Service Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at Southwest Airlines (Los Angeles, CA) in January 2020.",Application,Who do you want to work for southwest Â  1 Answer
"Mar 2, 2020","Anonymous Interview Candidate in Phoenix, AZ",Customer Service Representative Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Southwest Airlines (Phoenix, AZ) in January 2020.",Application,Why did you choose Southwest as an employer. Â  1 Answer
"Dec 31, 2019",Anonymous Employee,Ramp Agent Interview,Accepted Offer,Positive Experience,Average Interview,"Received a phone call a week or so after applying. Scheduled a phone interview for later in the day. Lots of basic questions and making sure you understand the job. A couple open ended questions. Said they would call back for F2F if selected. Called back a few hours later for a F2F roughly 10 days later.

The F2F was pretty relaxed. Again a lot of making sure you understand what the job consists of while also giving you the opportunity to tell a bit about yourself. Two people in the interview room, very professional but not over the top. Smile and just talk. They said expect an email soon with their decision to proceed. Emailed me before I left the parking lot with a contingent offer.

Then itâs all the fun stuff, drug test, fingerprints, pre adverse letter (maybe) basically just prove what you were doing the past 5 years and then wait. I got cleared and sent a start date about 3 weeks after that.",Application,Tell me about a time you went above and beyond for someone working when you didnât have to? Â  2 Answers
"Dec 16, 2019","Anonymous Employee in Dallas, TX",Records Technician Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. I interviewed at Southwest Airlines (Dallas, TX).",Application,"Handling stressful situations, time-sensitive matters. Â  Answer Question"
"Dec 20, 2019","Anonymous Employee in Dallas, TX",Flight Attendant Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX) in December 2019.",Application,Why Southwest Airlines? Â  Answer Question
"Aug 21, 2019",Anonymous Employee,Ramp Agent Interview,Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. I interviewed at Southwest Airlines.,Application,Are you prepared to work in the elements? Â  9 Answers
"Feb 4, 2020","Anonymous Employee in Dallas, TX",Intern Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Southwest Airlines (Dallas, TX) in December 2019.",Application,Why do you want to work for Southwest? Â  Answer Question
"Dec 26, 2019","Anonymous Employee in Pittsburgh, PA",Ramp Agent Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4 weeks. I interviewed at Southwest Airlines (Pittsburgh, PA) in December 2019.",Application,Why do you want to work for Southwest? Â  1 Answer
"Dec 31, 2019","Anonymous Interview Candidate in Dallas, TX",Graphic Designer Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Southwest Airlines (Dallas, TX) in December 2019.",Application,explain something on your portfolio Â  Answer Question
"Nov 11, 2019",Anonymous Employee,Internship Interview,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 3+ months. I interviewed at Southwest Airlines.,Application,"Asked about my resume, experience.
What makes you fun loving?
Why Southwest? Â  Answer Question"
"Dec 3, 2019","Anonymous Interview Candidate in Dallas, TX",Internal Audit Interview,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 4 weeks. I interviewed at Southwest Airlines (Dallas, TX) in November 2019.",Application,Why Southwest? Â  Answer Question
"Nov 13, 2019","Anonymous Employee in Dallas, TX",Intern Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 3 weeks. I interviewed at Southwest Airlines (Dallas, TX) in November 2019.",Application,Why this internship? Â  Answer Question
"Dec 30, 2019",Anonymous Interview Candidate,Customer Service Agent Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took a week. I interviewed at Southwest Airlines in November 2019.,Application,Basic questions related to the position and the company. Asked questions off the resume Â  Answer Question
"Feb 4, 2020",Anonymous Interview Candidate,Software Engineer(Internship) Interview,Declined Offer,Neutral Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at Southwest Airlines in November 2019.,Application,Explain a project Â  Answer Question
"Oct 27, 2019","Anonymous Employee in Phoenix, AZ",Flight Attendant Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Southwest Airlines (Phoenix, AZ) in October 2019.",Application,Describe a time when you had to deal with a difficult customer and how did you handle it? Â  Answer Question
"Oct 8, 2019",Anonymous Employee,Operations Agent Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Southwest Airlines.,Application,Have you had more than 3 tickets in the last 3 years? Â  1 Answer
"Oct 29, 2019","Anonymous Interview Candidate in Denver, CO",Operations Agent Interview,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 days. I interviewed at Southwest Airlines (Denver, CO) in October 2019.",Application,What are some of the operation agent duties ? Â  Answer Question
"Oct 1, 2019",Anonymous Interview Candidate,Flight Attendant Interview,No Offer,Positive Experience,Average Interview,Southwest has a very welcoming team and environment. The questions they asked weren't too hard and the people there were really friendly. The interview processed seemed fairly organized and I was pleased to be there.,Application,Why did you choose southwest over our competitors? Â  Answer Question
"Oct 29, 2019",Anonymous Interview Candidate,Flight Attendant Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Southwest Airlines in October 2019.,Application,Why do I want to be a FA with SW? Â  1 Answer
"Nov 10, 2019",Anonymous Interview Candidate,Flight Attendant Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 1 day. I interviewed at Southwest Airlines in October 2019.,Application,Describe a time you went above and beyond for a guest Â  Answer Question
"Sep 24, 2019","Anonymous Employee in Dallas, TX",TimeKeeping Specialist Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ months. I interviewed at Southwest Airlines (Dallas, TX).",Application,"Same basic questions, where do you see yourself in 5 years, tell me about yourself, why do you want to work for Southwest. Â  1 Answer"
"Sep 5, 2019",Anonymous Employee,Representative Interview,Accepted Offer,Positive Experience,,Quick and efficient. The recruiter was very friendly and told me exactly what to expect in the process. I felt like the company was genuinely excited to have me join their team and I feel very welcomed here.,Application,Tell us about a time you dealt with an upset customer. Â  Answer Question
"Sep 20, 2019","Anonymous Employee in Phoenix, AZ",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at Southwest Airlines (Phoenix, AZ) in September 2019.",Application,What are some of the duties of a flight attendant? Â  Answer Question
"Sep 24, 2019","Anonymous Employee in Dallas, TX",Inside Sales Account Manager Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX) in September 2019.",Application,Why Southwest? Â  Answer Question
"Sep 26, 2019","Anonymous Interview Candidate in Lihue, HI",Customer Service Agent Interview,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 6 weeks. I interviewed at Southwest Airlines (Lihue, HI) in September 2019.",Application,Why Southwest? Â  Answer Question
"Oct 3, 2019","Anonymous Employee in Dallas, TX",Pilot Crew Scheduler Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at Southwest Airlines (Dallas, TX) in September 2019.",Application,Give a time you had to deal with a irate customer. how did you handle that? Â  Answer Question
"Aug 20, 2019","Anonymous Interview Candidate in Dallas, TX",Flight Attendant Interview,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX) in August 2019.",Application,If there was one thing you would fix about yourself what would it be? Â  Answer Question
"Oct 28, 2019","Anonymous Employee in Baltimore, MD",Ramp Agent Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 8 weeks. I interviewed at Southwest Airlines (Baltimore, MD) in August 2019.",Application,What do u know about the job function of a ramp agent Â  Answer Question
"Jul 18, 2019",Anonymous Interview Candidate,Structural Engineer Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Southwest Airlines.,Application,"What is the SWA company culture;
What is the most failure in your life; Â  Answer Question"
"Sep 25, 2019","Anonymous Employee in Phoenix, AZ",Customer Service Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 5 weeks. I interviewed at Southwest Airlines (Phoenix, AZ) in July 2019.",Application,Why do you want to work for Southwest? Â  1 Answer
"Jun 30, 2019","Anonymous Employee in Dallas, TX",Consultant Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 3+ months. I interviewed at Southwest Airlines (Dallas, TX).",Application,Why Southwest? Â  Answer Question
"Aug 24, 2019","Anonymous Employee in Oakland, CA",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at Southwest Airlines (Oakland, CA) in July 2019.",Application,Why do you want to work for Southwest Airlines? Â  Answer Question
"Aug 12, 2019","Anonymous Interview Candidate in Dallas, TX",Flight Attendant Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 12+ months. I interviewed at Southwest Airlines (Dallas, TX) in July 2019.",Application,What did you do to prepare for this interview? What do you think your challenges will be here? Â  Answer Question
"Sep 4, 2019",Anonymous Interview Candidate,Flight Attendant Interview,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at Southwest Airlines in July 2019.,Application,Why did I want to be a Flight Attendant and why Southwest Â  Answer Question
"Aug 12, 2019","Anonymous Employee in Atlanta, GA",Ramp Agent Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 6+ weeks. I interviewed at Southwest Airlines (Atlanta, GA) in July 2019.",Application,What do you know about the Southwest and when it was founded? Â  1 Answer
