Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Q
"Apr 13, 2020",Anonymous Interview Candidate,Electrical Engineering Co-Op,No Offer,Positive Experience,Average Interview,"Done in two rounds, first an online virtual interview then a super day. Got through the virtual video interview and invited to the super day, but was never contacted further.",Application,Why Verizon Â  Answer Question
"Apr 11, 2020",Anonymous Employee,Customer Care Representative,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Tell me how you would deal with an irate customer Â  Answer Question
"Apr 8, 2020","Anonymous Employee in Saint Louis, MO",Business Account Manager,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (Saint Louis, MO).",Application,"List an example of your past success in sales, citing challenges/obstacles you overcame. Â  Answer Question"
"Apr 4, 2020",Anonymous Employee,Global Enterprise Advisor,Accepted Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Verizon.,Application,Describe a time when you used Powerpoint to present information to a group of people. What tools did you use and how did you use them to your advantage? Â  Answer Question
"Mar 14, 2020",Anonymous Interview Candidate,Counsel,Declined Offer,Positive Experience,Average Interview,I applied through a recruiter. I interviewed at Verizon.,Application,Why Verizon? Â  Answer Question
"Mar 4, 2020",Anonymous Interview Candidate,IT,No Offer,Positive Experience,Average Interview,"I had a digital interview and then a final video interview with two employees...There were ten questions for the digital interview, one of them was asking how you implemented new technologies. Behavior questions, talk about your projects, very nice people... great experience",Application,"Name a time when you had a workplace conflict, how'd you handle it? Â  Answer Question"
"Feb 28, 2020",Anonymous Employee,Customer Support Analyst,Accepted Offer,Positive Experience,,"3 stages , 1 actual interview, practice run , written test, it was 14 years ago, I wouldn't remember that process
Please write at least 30 words on Hiring and Interview process.",Application,How did I respond to stressful situation? Â  1 Answer
"Feb 25, 2020",Anonymous Interview Candidate,Retail Sales Associate,No Offer,Positive Experience,Average Interview,I applied online. The process took a week. I interviewed at Verizon.,Application,How have you handled a customer that was irate and how did that customer leave the situation? Â  Answer Question
"Feb 10, 2020","Anonymous Interview Candidate in Atlanta, GA",Customer Service Representative,No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Atlanta, GA).",Application,What was something that you did that none else thought of to solve a conflict Â  Answer Question
"Feb 18, 2020",Anonymous Interview Candidate,Network Security Engineer,Declined Offer,Negative Experience,Easy Interview,I applied online. I interviewed at Verizon in February 2020.,Application,Why Verizon? Â  Answer Question
"Feb 28, 2020","Anonymous Interview Candidate in New York, NY",Software Developer,No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 1 day. I interviewed at Verizon (New York, NY) in February 2020.",Application,"rotate an array by value of k,Basic SQL queries Â  Answer Question"
"Mar 23, 2020","Anonymous Employee in Ocala, FL",Sales Representative,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 5 days. I interviewed at Verizon (Ocala, FL) in February 2020.",Application,How much experience I had in sales. Â  1 Answer
"Feb 17, 2020",Anonymous Interview Candidate,Senior Performance Engineer,No Offer,Neutral Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at Verizon in February 2020.,Application,Write JMeter script in chat (!!!) Â  1 Answer
"Jan 28, 2020","Anonymous Employee in Richmond, VA",Network Quality Assurance Engineer,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 2 weeks. I interviewed at Verizon (Richmond, VA).",Application,Most questions start with name a time. Â  Answer Question
"Jan 22, 2020",Anonymous Interview Candidate,Devops,Declined Offer,Positive Experience,Difficult Interview,I applied in-person. I interviewed at Verizon.,Application,How are you Â  1 Answer
"Jan 8, 2020","Anonymous Interview Candidate in Basking Ridge, NJ",Executive Communications Manager,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (Basking Ridge, NJ).",Application,Tell me about your background. Â  Answer Question
"Jan 13, 2020","Anonymous Interview Candidate in Tulsa, OK",Billing Analyst,No Offer,Positive Experience,Easy Interview,"I applied through an employee referral. I interviewed at Verizon (Tulsa, OK) in January 2020.",Application,tell me about a time when you solved a problem Â  Answer Question
"Feb 3, 2020","Anonymous Employee in Jersey City, NJ",Analytics,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Verizon (Jersey City, NJ) in January 2020.",Application,Most of them were related to projects. Â  Answer Question
"Jan 27, 2020","Anonymous Interview Candidate in Basking Ridge, NJ",Intern,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 6 weeks. I interviewed at Verizon (Basking Ridge, NJ) in January 2020.",Application,"Pretty typical interview questions about how you solve problems, work in teams, etc. Â  1 Answer"
"Mar 30, 2020",Anonymous Employee,Software Developer,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 4+ weeks. I interviewed at Verizon in January 2020.,Application,Scenario-based questions. I was given a scenario where there was trillions of lines of data and I was supposed to determine how many I would determine all the customers that returned to a given website on 2 different days. Â  Answer Question
"Feb 18, 2020","Anonymous Interview Candidate in South San Francisco, CA",Sales Representative,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 1+ week. I interviewed at Verizon (South San Francisco, CA) in January 2020.",Application,"To be honest, on Youtube, you can find these questions. All of them are about situational cases from the job. Â  Answer Question"
"Feb 21, 2020","Anonymous Interview Candidate in New York, NY",Mechanical Engineer,No Offer,Neutral Experience,Easy Interview,"I applied through college or university. I interviewed at Verizon (New York, NY) in January 2020.",Application,What did you study? Â  Answer Question
"Dec 31, 2019",Anonymous Employee,Customer Experience,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Why did you choose Verizon and what makes you a good candidate for this program? Â  Answer Question
"Feb 25, 2020","Anonymous Interview Candidate in Ann Arbor, MI",Frontend Developer,No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took a week. I interviewed at Verizon (Ann Arbor, MI) in January 2020.",Application,Leetcode Questions Â  Answer Question
