Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Dec 12, 2019","Anonymous Employee in Fernandina Beach, FL",CAP Team Member Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Walmart (Fernandina Beach, FL) in November 2019.",Application,A time when you had to go above and beyond to achieve a goal Â  3 Answers
"Mar 31, 2020",Anonymous Employee,Part Time Cashier Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Walmart.,Application,Why you want to work for Walmart? Â  Answer Question
"Mar 25, 2020",Anonymous Employee,Cap1associate Interview,Accepted Offer,Neutral Experience,Easy Interview,I applied online. The process took a week. I interviewed at Walmart.,Application,
"Mar 30, 2020","Anonymous Employee in Albany, NY",Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Walmart (Albany, NY).",Application,What are your days and hours of availability? Â  Answer Question
"Mar 30, 2020",Anonymous Employee,Sales Associate/Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,"super nice and welcoming, easy interview. pretend like you plan on staying there forever, they really enjoy knowing that you will not leave, that way they can train you to do numerous jobs. being a cashier in the morning is like the ""ideal"" schedule because for the first couple hours legit nothing is happening.",Application,Will transportation be difficult Â  1 Answer
"Mar 17, 2020",Anonymous Interview Candidate,Category Specialist Interview,No Offer,Neutral Experience,Average Interview,"Phone interview with someone in HR, assessment to tell them more about your personality, and then in person interview - included 3 rounds - case study, role playing, and behavioral questions.",Application,How do you keep up with your busy schedule? Â  Answer Question
"Mar 12, 2020",Anonymous Employee,Sales Associate/Cashier/Stock Replenishment Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Walmart.,Application,What makes you want to work with us? Â  1 Answer
"Mar 11, 2020",Anonymous Interview Candidate,Sales Associate/Cashier Interview,Declined Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at Walmart.,Application,have you ever been fired Â  1 Answer
"Mar 12, 2020",Anonymous Employee,Software Development Interview,Accepted Offer,Positive Experience,Average Interview,I applied on Walmart's designated applicant website and received an email about 2 weeks following submission. Consisted of 2 technical interviews that consisted of very basic questions and was strictly oral. Each lasted about 30 minutes and was with two programmers.,Application,Breifly describe the three main design patterns. Â  Answer Question
"Mar 10, 2020","Anonymous Interview Candidate in Bentonville, AR",Counsel Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Walmart (Bentonville, AR).",Application,You must know why you want to work for Walmart. You must also do research to understand the size and complexity of its business and be able to address questions regarding this. Â  Answer Question
"Mar 9, 2020",Anonymous Employee,Customer Service Representative Interview,Accepted Offer,Positive Experience,,"applied online in July about 5 years ago , within a week got a phone call, went in for an interview next week, got the job on the spot",Interview,experience Â  Answer Question
"Mar 4, 2020",Anonymous Employee,CAP II Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 4 days. I interviewed at Walmart.,Interview,Tell me about yourself Â  Answer Question
"Mar 9, 2020","Anonymous Employee in Boise, ID",Personal Shopper Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 1 day. I interviewed at Walmart (Boise, ID) in March 2020.",Interview,What relevant experience do you have? Â  1 Answer
"Mar 1, 2020","Anonymous Employee in Los Angeles, CA",Assistant Manager Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Walmart (Los Angeles, CA).",Interview,Tell me about a time where you changed a process and how did it work out? Â  Answer Question
"Mar 2, 2020",Anonymous Employee,ASM- Assistant Store Manager Interview,Accepted Offer,Positive Experience,Difficult Interview,I applied through other source. The process took a week. I interviewed at Walmart.,Interview,Problem solving abilities Â  1 Answer
"Mar 13, 2020","Anonymous Employee in Salem, OH",Assistant Store Manager Interview,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 6 weeks. I interviewed at Walmart (Salem, OH) in March 2020.",Interview,Name a time when you didn't think there was a possible way to get finished but you did Â  1 Answer
"Mar 6, 2020","Anonymous Interview Candidate in New York, NY",Staff Software Engineer Interview,No Offer,Negative Experience,Easy Interview,"I applied through a staffing agency. The process took a week. I interviewed at Walmart (New York, NY) in March 2020.",Interview,Why do you want to leave your current company Â  Answer Question
"Mar 26, 2020","Anonymous Employee in San Diego, CA",Overnight Stocker Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 days. I interviewed at Walmart (San Diego, CA) in March 2020.",Interview,Have you worked in retail before? Â  1 Answer
"Mar 29, 2020","Anonymous Interview Candidate in Lufkin, TX",Personal Shopper Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 6+ months. I interviewed at Walmart (Lufkin, TX) in March 2020.",Interview,Are you still in school? Â  1 Answer
"Mar 20, 2020","Anonymous Interview Candidate in Dallas, TX",Data Scientist Interview,No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 1+ week. I interviewed at Walmart (Dallas, TX) in March 2020.",Interview,What is the difference between Ridge and Lasso? Â  Answer Question
"Apr 1, 2020",Anonymous Interview Candidate,Software Engineer-III Interview,No Offer,Neutral Experience,Average Interview,I applied through an employee referral. I interviewed at Walmart in March 2020.,Application,basic algorithm questions and Java Spring related Â  Answer Question
"Mar 20, 2020","Anonymous Employee in New York, NY",Loading Stocker First Shift Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at Walmart (New York, NY) in March 2020.",Application,what is the normal pay compensation? Â  Answer Question
"Feb 26, 2020",Anonymous Employee,Asset Protection Associate Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Walmart.,Application,How does past experience relate to this job Â  Answer Question
"Feb 26, 2020",Anonymous Employee,Sales Associate Interview,Accepted Offer,Negative Experience,Easy Interview,first you apply then do an online interview and then if they want you to they will email you and then follow up with a phone call and then they will talk to you about whether you want to come in for an interview and then if we decide to do that then you can and then you go in for an in person interview and then they decide what are the next steps,Application,what is your best characteristic? Â  1 Answer
"Feb 26, 2020",Anonymous Employee,Customer Service Representative Interview,Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. I interviewed at Walmart.,Application,
"Feb 21, 2020",Anonymous Employee,Sales Associate/Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 1 day. I interviewed at Walmart.,Application,My availability Â  1 Answer
"Feb 16, 2020","Anonymous Employee in New York, NY",WalMart Overnight Stocker Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. The process took a week. I interviewed at Walmart (New York, NY).",Application,Where do you see yourself working in 5 years? Â  1 Answer
"Feb 14, 2020",Anonymous Employee,Asset Protection Associate Interview,Accepted Offer,Neutral Experience,,"The store manager interviewed me personally, as opposed to an assistant manager, and made me feel at ease. Usually I get very nervous during interviews, but they talked to me like a human and not a piece of paper.",Application,Why do you want to work for Walmart? Â  Answer Question
"Feb 11, 2020",Anonymous Employee,Asset Protection Interview,Accepted Offer,Positive Experience,Easy Interview,I applied in-person. The process took 2 days. I interviewed at Walmart.,Application,Tell me about yourself and previius work Â  1 Answer
"Feb 10, 2020",Anonymous Employee,Produce Overnight Cap Associate Interview,Accepted Offer,Positive Experience,,I went in for the interview and I first spoke with a supervisor about the job offer..it was a very good interview and I was very comfortable and excited about the job..I then went in to speak with the HR manager in her office and she was a wonderful and optimistic person..I have a criminal history from over 7 years ago and she told me to be honest about everything on the site.,Application,"was I a punctual, and did I love interacting with people. Did I work well on my own, and in group situations, and would I offer suggestions to my supervisor if I felt the job could get done more efficiently as a team. Â  Answer Question"
"Feb 6, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Average Interview,I applied in-person. I interviewed at Walmart.,Application,Where do you see yourself in 5 years? Â  Answer Question
"Feb 5, 2020",Anonymous Interview Candidate,Front End Cashier Interview,Declined Offer,Positive Experience,Average Interview,I applied online. I interviewed at Walmart.,Application,Are you still interested? Â  Answer Question
"Feb 2, 2020",Anonymous Interview Candidate,Staff Pharmacist Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Walmart.,Application,Why do you want to work for Walmart? Â  Answer Question
"Feb 19, 2020","Anonymous Interview Candidate in Gainesville, FL",Software Engineer Interview,No Offer,Neutral Experience,Easy Interview,"I applied online. The process took a week. I interviewed at Walmart (Gainesville, FL) in February 2020.",Application,asked me basic HR questions Â  Answer Question
"Mar 17, 2020",Anonymous Interview Candidate,Software Engineer Interview,No Offer,Negative Experience,Easy Interview,I applied online. I interviewed at Walmart in February 2020.,Application,Asking about your resume and experience Â  Answer Question
"Feb 21, 2020","Anonymous Interview Candidate in Plainfield, IN",Human Resources Clerk Interview,No Offer,Negative Experience,Average Interview,"I applied online. The process took 1+ week. I interviewed at Walmart (Plainfield, IN) in February 2020.",Application,Questions are generated based on results of assessment Â  1 Answer
"Mar 7, 2020","Anonymous Interview Candidate in Holland, OH",Sales Associate Interview,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took a week. I interviewed at Walmart (Holland, OH) in February 2020.",Application,"She asked about my previous experiences in customer service, and asked for a specific example. Â  Answer Question"
"Mar 10, 2020",Anonymous Interview Candidate,Tax Analyst Interview,No Offer,Positive Experience,Average Interview,I applied through college or university. The process took a week. I interviewed at Walmart in February 2020.,Application,What advice have you received at your current workplace? Â  1 Answer
