Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Q
"Mar 25, 2020",Anonymous Interview Candidate,Front End Interview,No Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at The Zappos Family.,"Very Straightforward applied online and then received an email with a coding challenge. The coding challenge was also very straight forward. I was given a week to complete it. After I submitted it, received an email saying I was not selected.",Create a 5 page site or SPA about llamas. Â  Answer Question
"Mar 19, 2020",Anonymous Interview Candidate,Assistant Buyer Interview,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 7 weeks. I interviewed at The Zappos Family.,"The Zappos interview process is atypical and I appreciate that. There are a few rounds of interviews, but that gives you the chance to get a lot of your questions and concerns on the table and meet multiple people, who could be potentially your co-workers. It also gives you the chance to interview them as much as they are interviewing you. I appreciate that they take the time and effort to make sure they find a person who fits in with the team and company culture.","If you were hired, what would you expect to accomplish in the first 90 days? Â  Answer Question"
"Mar 17, 2020",Anonymous Interview Candidate,Android Developer Interview,Declined Offer,Negative Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at The Zappos Family.,"General process: I applied around January and received a difficult but very interesting technical challenge to do within a week. Then 8 online self-recording video questions. Then an introduction call. Then more final round interviews.

Experience: The entire process is slow and well beyond 2 months. Around the end of the process, I have offer deadlines and I reached out to the HR several times asking for an expedited process or maybe just an answer is fine. However, HR ignored my emails for days and then proceeded to send me a mass email saying that I entered the final stage.

I hope the HR or the management read this. There are lots of no-communication during the hiring process. If the application process is this long (more than 2 months), many candidates will have pending offers from other companies. You need to show them the positive company culture THROUGH your hiring process.",Build an Android application within a week. Â  Answer Question
"Mar 27, 2020","Anonymous Interview Candidate in Las Vegas, NV",Merchandise Analyst Interview,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at The Zappos Family (Las Vegas, NV) in March 2020.",Currently still in the process. Submitted my application online and just did a 30 min phone call with the recruiter. To advance to the next level I needed to complete a project about analyzing some spreadsheets.,name three things that you are looking for in your next position? Â  Answer Question
"Feb 19, 2020",Anonymous Interview Candidate,Analyst Interview,No Offer,Negative Experience,,I applied through a recruiter. The process took a week. I interviewed at The Zappos Family.,"Terrible experience - phone screen with company HR screener. Contrived/fake, and I got an arrogant vibe coming from the screener. Asked me several personal questions that really aren't any of their business. No. Just no.","Q: Do you like to ""hang"" with your co-workers outside of work? Â  1 Answer"
"Feb 3, 2020",Anonymous Interview Candidate,Machine Learning Interview,No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 3 weeks. I interviewed at The Zappos Family.,"-Online test assessment on machine learning and programming.
-Call onsite at las vega for further process.
There were many questions and time was less as compared to the difficulty level.
It i sa combination of multiple choice and programming question.",- Scenarios were given and you have you tell which algorithm fits best? Â  Answer Question
"Feb 20, 2020",Anonymous Interview Candidate,Internship Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at The Zappos Family in January 2020.,"Had a Hackerrank questions to solve. It was mid difficulty. The questions consist of few mcq and statistics related questions. The coding questions are machine learning problems which you could practice in hackerrank, including some sql queries.",Questions about machine learning algorithms Â  Answer Question
"Jan 21, 2020","Anonymous Interview Candidate in Las Vegas, NV",Accounts Payable Interview,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at The Zappos Family (Las Vegas, NV) in January 2020.",A great experience to really give a person an understanding of what the culture is like. Having not only management be involved in the hiring process but also the team that will be working with the person.,What goal have I set for myself? Â  Answer Question
"Nov 18, 2019","Anonymous Interview Candidate in Las Vegas, NV",Assistant Buyer Interview,No Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at The Zappos Family (Las Vegas, NV) in November 2019.","The process began with a call from the recruiter, from there I had a call with the team, I was then invited to tour the campus and interview with the rest of the team. It may sound long, but it really gives you a great feel for the company and team. It idle a chance to see where you will be spending your time and whoâs you will be spending it with.","They asked technical questions, as well as personal questions to get to know me. It seemed like they not only wanted to make sure I was qualified but also make sure I would fit in with the team. Â  1 Answer"
"Jan 24, 2020","Anonymous Employee in Las Vegas, NV",Assistant Buyer Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at The Zappos Family (Las Vegas, NV) in October 2019.","The full interview process took about 3 months. It started with an initial phone interview with a member of the recruiting team. Next there was a technical phone call. After that was the in person interview. The in person interview was about 6 hours long and included a tour of the campus, core value interview, several technical interviews and a lunch with some members of the same department. It was a very long day, but overall fun. The employees did a great job with making me feel welcomed and it felt like they were really on my side and cheering for me along the way.",What's a current fashion trend that you love and one you don't love? Â  Answer Question
